name,state,city,type,indoor_or_outdoor,min_age,max_age,price_band,url,verified
Griffith Observatory,CA,Los Angeles,science_center,both,4,99,free,https://griffithobservatory.org,false
La Brea Tar Pits and Museum,CA,Los Angeles,museum,both,3,99,$$,https://tarpits.org,false
California Science Center,CA,Los Angeles,science_center,indoor,2,99,free,https://californiasciencecenter.org,false
Natural History Museum of Los Angeles County,CA,Los Angeles,museum,indoor,3,99,$$,https://nhm.org,false
Balboa Park,CA,San Diego,park,outdoor,0,99,free,https://balboapark.org,false
San Diego Zoo,CA,San Diego,zoo,outdoor,0,99,$$$,https://zoo.sandiegozoo.org,false
Birch Aquarium at Scripps,CA,La Jolla,aquarium,indoor,2,99,$$,https://aquarium.ucsd.edu,false
Monterey Bay Aquarium,CA,Monterey,aquarium,indoor,2,99,$$$,https://montereybayaquarium.org,false
Exploratorium,CA,San Francisco,science_center,indoor,3,99,$$,https://exploratorium.edu,false
Golden Gate Park,CA,San Francisco,park,outdoor,0,99,free,https://sfrecpark.org,false
California Academy of Sciences,CA,San Francisco,science_center,indoor,2,99,$$$,https://calacademy.org,false
Children's Fairyland,CA,Oakland,park,outdoor,1,10,$$,https://fairyland.org,false
Yosemite National Park,CA,Yosemite Valley,park,outdoor,0,99,$$,https://www.nps.gov/yose,false
Houston Zoo,TX,Houston,zoo,outdoor,0,99,$$,https://houstonzoo.org,false
Houston Museum of Natural Science,TX,Houston,museum,indoor,3,99,$$,https://hmns.org,false
Children's Museum Houston,TX,Houston,museum,indoor,0,12,$$,https://cmhouston.org,false
Space Center Houston,TX,Houston,science_center,indoor,4,99,$$$,https://spacecenter.org,false
Perot Museum of Nature and Science,TX,Dallas,science_center,indoor,2,99,$$,https://perotmuseum.org,false
Dallas Zoo,TX,Dallas,zoo,outdoor,0,99,$$,https://dallaszoo.com,false
Dallas Arboretum and Botanical Garden,TX,Dallas,garden,outdoor,0,99,$$,https://dallasarboretum.org,false
San Antonio Zoo,TX,San Antonio,zoo,outdoor,0,99,$$,https://sazoo.org,false
The DoSeum,TX,San Antonio,museum,indoor,0,10,$$,https://thedoseum.org,false
Zilker Metropolitan Park,TX,Austin,park,outdoor,0,99,free,https://austintexas.gov,false
Thinkery,TX,Austin,museum,indoor,0,10,$$,https://thinkeryaustin.org,false
Big Bend National Park,TX,Big Bend,park,outdoor,4,99,$$,https://www.nps.gov/bibe,false
Museum of Science and Industry Tampa,FL,Tampa,science_center,indoor,3,99,$$,https://mosi.org,false
Tampa's Lowry Park Zoo,FL,Tampa,zoo,outdoor,0,99,$$,https://zootampa.org,false
The Florida Aquarium,FL,Tampa,aquarium,indoor,0,99,$$$,https://flaquarium.org,false
Miami Seaquarium,FL,Miami,aquarium,both,2,99,$$$,https://miamiseaquarium.com,false
Phillip and Patricia Frost Museum of Science,FL,Miami,science_center,indoor,2,99,$$$,https://frostscience.org,false
Zoo Miami,FL,Miami,zoo,outdoor,0,99,$$,https://zoomiami.org,false
Everglades National Park,FL,Homestead,park,outdoor,4,99,$$,https://www.nps.gov/ever,false
Kennedy Space Center Visitor Complex,FL,Merritt Island,science_center,both,4,99,$$$,https://kennedyspacecenter.com,false
Orlando Science Center,FL,Orlando,science_center,indoor,2,99,$$,https://osc.org,false
Central Park,NY,New York,park,outdoor,0,99,free,https://centralparknyc.org,false
American Museum of Natural History,NY,New York,museum,indoor,3,99,$$$,https://amnh.org,false
Brooklyn Children's Museum,NY,Brooklyn,museum,indoor,0,10,$$,https://brooklynkids.org,false
New York Hall of Science,NY,Queens,science_center,indoor,2,99,$$,https://nysci.org,false
Bronx Zoo,NY,Bronx,zoo,outdoor,0,99,$$$,https://bronxzoo.com,false
New York Botanical Garden,NY,Bronx,garden,outdoor,0,99,$$$,https://nybg.org,false
Intrepid Museum,NY,New York,museum,both,4,99,$$$,https://intrepidmuseum.org,false
Strong National Museum of Play,NY,Rochester,museum,indoor,0,12,$$,https://museumofplay.org,false
Niagara Falls State Park,NY,Niagara Falls,park,outdoor,0,99,free,https://niagarafallsstatepark.com,false
Arizona Science Center,AZ,Phoenix,science_center,indoor,2,99,$$,https://azscience.org,false
Phoenix Zoo,AZ,Phoenix,zoo,outdoor,0,99,$$,https://phoenixzoo.org,false
Desert Botanical Garden,AZ,Phoenix,garden,outdoor,0,99,$$,https://dbg.org,false
Children's Museum of Phoenix,AZ,Phoenix,museum,indoor,0,10,$$,https://childrensmuseumofphoenix.org,false
Arizona-Sonora Desert Museum,AZ,Tucson,zoo,outdoor,3,99,$$,https://desertmuseum.org,false
Grand Canyon National Park,AZ,Grand Canyon Village,park,outdoor,4,99,$$,https://www.nps.gov/grca,false
Saguaro National Park,AZ,Tucson,park,outdoor,4,99,$$,https://www.nps.gov/sagu,false
Center of Science and Industry,OH,Columbus,science_center,indoor,2,99,$$,https://cosi.org,false
Columbus Zoo and Aquarium,OH,Powell,zoo,outdoor,0,99,$$,https://columbuszoo.org,false
Cincinnati Zoo and Botanical Garden,OH,Cincinnati,zoo,outdoor,0,99,$$,https://cincinnatizoo.org,false
Cincinnati Museum Center,OH,Cincinnati,museum,indoor,2,99,$$,https://cincymuseum.org,false
Great Lakes Science Center,OH,Cleveland,science_center,indoor,2,99,$$,https://greatscience.com,false
Cleveland Metroparks Zoo,OH,Cleveland,zoo,outdoor,0,99,$$,https://clevelandmetroparks.com,false
Cuyahoga Valley National Park,OH,Brecksville,park,outdoor,0,99,free,https://www.nps.gov/cuva,false
Georgia Aquarium,GA,Atlanta,aquarium,indoor,0,99,$$$,https://georgiaaquarium.org,false
Zoo Atlanta,GA,Atlanta,zoo,outdoor,0,99,$$,https://zooatlanta.org,false
Fernbank Museum of Natural History,GA,Atlanta,museum,both,2,99,$$,https://fernbankmuseum.org,false
Children's Museum of Atlanta,GA,Atlanta,museum,indoor,0,9,$$,https://childrensmuseumatlanta.org,false
Atlanta Botanical Garden,GA,Atlanta,garden,outdoor,0,99,$$,https://atlantabg.org,false
Piedmont Park,GA,Atlanta,park,outdoor,0,99,free,https://piedmontpark.org,false
Museum of Science and Industry,IL,Chicago,science_center,indoor,2,99,$$$,https://msichicago.org,false
Shedd Aquarium,IL,Chicago,aquarium,indoor,0,99,$$$,https://sheddaquarium.org,false
Field Museum,IL,Chicago,museum,indoor,3,99,$$$,https://fieldmuseum.org,false
Adler Planetarium,IL,Chicago,science_center,indoor,4,99,$$,https://adlerplanetarium.org,false
Lincoln Park Zoo,IL,Chicago,zoo,outdoor,0,99,free,https://lpzoo.org,false
Chicago Children's Museum,IL,Chicago,museum,indoor,0,10,$$,https://chicagochildrensmuseum.org,false
Millennium Park,IL,Chicago,park,outdoor,0,99,free,https://chicago.gov,false
Brookfield Zoo,IL,Brookfield,zoo,outdoor,0,99,$$,https://czs.org,false
